,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
135,Alex Strangelove,"Michael Abela, Brendan Archer, Joshua Barragan",Craig Johnson,"['April 14, 2018 ', 'June 8, 2018 ']",99 minutes,United States,"['STXfilms', 'Red Hour Films', 'Mighty Engine']",6.3,"Comedy, Drama, Romance","Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused.",,N/A,"19,121",TV-MA,movie
136,Set It Up,"Zoey Deutch, Glen Powell, Lucy Liu",Claire Scanlon,"['June 12, 2018 ', 'June 15, 2018 ']",105 minutes,United States,Treehouse Pictures,6.5,"Comedy, Romance",Two corporate executive assistants hatch a plan to match-make their two bosses.,,1 nomination,"60,026",TV-14,movie
137,Lust Stories,"Kiara Advani, Vicky Kaushal, Bhumi Pednekar","['Anurag Kashyap', 'Zoya Akhtar', 'Dibakar Banerjee', 'Karan Johar']",,120 minutes,India,RSVP Movies Flying Unicorn Entertainment,6.4,"Drama, Romance","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.",,1 win & 3 nominations,"12,671",TV-MA,movie
138,"To Each, Her Own","Sarah Stern, Jean-Christophe Folly, Julia Piaton",Myriam Aziza,,95 minutes,France,['Netflix'],5.4,"Comedy, Drama","Simone plans to inform her conservative Jewish family that she's a lesbian, but as she proceeds with coming out she finds herself attracted to a man.",,N/A,"1,898",TV-MA,movie
139,Calibre,"Jack Lowden, Martin McCann, Tony Curran",Matt Palmer,"['22 June 2018 ', '29 June 2018 ']",101 minutes,United Kingdom,Wellington Films,6.8,"Drama, Thriller",A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.,,2 wins & 7 nominations,"32,076",TV-MA,movie
140,Tau,"Maika Monroe, Ed Skrein, Gary Oldman",Federico D'Alessandro,,97 minutes,United States,"['Waypoint Entertainment', 'Rhea Films', 'Hercules Film Fund', 'Phantom Four Films', 'Addictive Pictures', 'Kaos Theory Entertainment', 'Netflix']",5.8,"Horror, Sci-Fi, Thriller","A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.",,1 nomination,"33,556",R,movie
141,The Legacy of a Whitetail Deer Hunter,"Josh Brolin, Danny McBride, Montana Jordan",Jody Hill,"['March 10, 2018 ', 'July 6, 2018 ']",83 minutes,United States,"['Rough House Pictures', 'Scott Rudin Productions']",5.5,"Comedy, Drama",The great hunter Buck Ferguson (Josh Brolin) and his trusted cameraman Don (Danny McBride) set out for an epic weekend adventure to reconnect with Buck's young son (Montana Jordan).,,N/A,"4,144",TV-14,movie
142,How It Ends,"Theo James, Kat Graham, Nancy Sorel",David M. Rosenthal,,114 minutes,United States,"['Paul Schiff Productions', 'Sierra/Affinity']",5.0,"Action, Drama, Horror","In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.",,5 nominations,"56,402",TV-MA,movie
143,Father of the Year,"David Spade, Nat Faxon, Joey Bragg",Tyler Spindel,,94 minutes,United States,['Happy Madison Productions'],5.2,Comedy,"Before NYC, college valedictorian Ben visits his trailer park loser dad. Same evening Ben argues with Larry about whose dad can kick the other dad's ass. Loser dad hears of this and tries to beat up doormat dad and chaos follows.",,N/A,"12,302",TV-14,movie
144,Duck Duck Goose,"Jim Gaffigan, Zendaya, Lance Lim",Chris Jenkins,"['March 9, 2018 ', 'July 20, 2018 ']",91 minutes,"China, United States, United Kingdom","Original Force Animation Wanda Media Co., Ltd Jiangsu Yuandongli Computer Animation Co.,Ltd GFM Animation",5.7,"Animation, Adventure, Comedy",A bachelor goose must form a bond with two lost ducklings as they journey south.,,1 win,"3,932",PG,movie
145,Extinction,"Michael Peña, Lizzy Caplan, Amelia Crouch",Ben Young,,95 minutes,United States,"['Good Universe', 'Mandeville Films']",5.8,"Action, Drama, Sci-Fi","A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe f...",,1 win,"56,014",TV-MA,movie
146,Brij Mohan Amar Rahe,,Nikhil Nagesh Bhat,,,,Yoodlee Films,,,,,,,,
147,Like Father,"Kristen Bell, Danielle Davenport, Kimiko Glenn",Lauren Miller,,98 minutes,United States,aBard Production,6.1,"Comedy, Drama","After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.",,N/A,"22,524",TV-MA,movie
148,The Package,"Daniel Doheny, Geraldine Viswanathan, Sadie Calvano",Jake Szymanski,,94 minutes,United States,Red Hour Productions Campfire Mail Order Company,5.6,"Comedy, Thriller","When a group of teenage friends go on a spring break camping trip, an unfortunate accident sets off a race against time to save their friend's most prized possession.",,1 win & 2 nominations,"20,374",TV-MA,movie
149,To All the Boys I've Loved Before,"Lana Condor, Noah Centineo, Janel Parrish",Susan Johnson,,99 minutes,United States,"['Overbrook Entertainment', 'Awesomeness Films']",7.0,"Comedy, Drama, Romance",A teenage girl's secret love letters are exposed and wreak havoc on her love life.,,5 wins & 11 nominations,"118,532",TV-14,movie
150,The After Party,"Harrison Holzer, Kyle, Jordan Rock",Ian Edelman,,120 minutes,United States,,5.8,"Comedy, Music","When an aspiring rapper goes viral for all the wrong reasons, he thinks his career is over. But when his best friend gets them into a wild NYC after party, he gets one more chance to make the impossible happen.",,N/A,"4,674",Not Rated,movie
151,Sierra Burgess Is a Loser,"Shannon Purser, Kristine Froseth, RJ Cyler",Ian Samuels,,105 minutes,United States,Black Label Media,5.8,"Comedy, Drama, Romance",A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,,2 nominations,"40,579",PG-13,movie
152,The Most Assassinated Woman in the World,"Anna Mouglalis, Niels Schneider, Jean-Michel Balthazar",,,102 minutes,"Belgium, United Kingdom, United States",,5.3,"Biography, Drama, Mystery","Paula Maxa is the Parisian Grand Guignol Theatre's leading lady, famous for being murdered on stage every day. But is there a link between the theatre and a series of gruesome real-life murders?",,1 nomination,"1,162",TV-MA,movie
153,On My Skin,Logan Gutierrez-Mock,Alessio Cremonini,"['29 August 2018 ', '12 September 2018']",100 minutes,United States,Cinemaundici,N/A,Short,"Exploring the reflections a mixed-race transgender man had as he traveled to his ancestral homeland, Mexico.",,N/A,N/A,N/A,movie
154,The Land of Steady Habits,"Ben Mendelsohn, Natalie Gold, Thomas Mann",Nicole Holofcener,"['September 12, 2018 ', 'September 14, 2018 ']",98 minutes,United States,Likely Story,6.2,"Comedy, Drama","After leaving his wife and his job to find happiness, Anders befriends a drug-addicted teen, sending him down a path of reckless and shameful behavior.",,N/A,"8,618",TV-MA,movie
155,The Angel,"Toby Kebbell, Marwan Kenzari, Hannah Ware",Ariel Vromen,,,"Israel, United Kingdom, Egypt","['Adama Pictures', 'TTV Productions', 'Sumatra Films']",6.7,"Action, Biography, Drama","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",,1 win,"14,981",TV-MA,movie
156,Nappily Ever After,"Sanaa Lathan, Ricky Whittle, Lyriq Bent",Haifaa al-Mansour,,98 minutes,United States,"['Netflix', 'Marc Platt Productions', 'Badabing Pictures']",6.4,"Comedy, Drama, Romance","Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",,1 win & 5 nominations,"9,681",TV-MA,movie
157,Hold the Dark,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale",Jeremy Saulnier,"['September 12, 2018 ', 'September 28, 2018 ']",125 minutes,United States,"['Addictive Pictures', 'VisionChaos Productions', 'FilmScience']",5.6,"Action, Crime, Drama","After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the mother of a missing six-year-old boy to track down and locate her son in the Alaskan wilderness.",,1 win,"39,384",TV-MA,movie
158,Malevolent,"Florence Pugh, Ben Lloyd-Hughes, Scott Chambers",Olaf de Fleur,,88 minutes,United Kingdom,"['Netflix', 'Catalyst Global Media', 'Sigma Films', 'Thruline Entertainment']",4.8,"Horror, Mystery, Thriller",A team of scam artists get more than they bargained for when a job at a haunted country estate gets out of hand.,,1 nomination,"16,180",TV-MA,movie
159,Private Life,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid",Tamara Jenkins,"['January 18, 2018 ', 'October 5, 2018 ']",123 minutes,United States,Likely Story,7.2,"Comedy, Drama","An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",,1 win & 18 nominations,"21,212",R,movie
160,22 July,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden",Paul Greengrass,"['September 5, 2018 ', 'October 10, 2018 ']",143 minutes,"United States, Norway",Scott Rudin Productions,6.8,"Crime, Drama, History","A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",,2 wins & 4 nominations,"36,412",R,movie
161,Apostle,"Dan Stevens, Richard Elfyn, Paul Higgins",Gareth Evans,"['21 September 2018 ', '12 October 2018']",129 minutes,"United Kingdom, United States","['XYZ Films', 'Severn Screen', 'One More One Productions']",6.3,"Drama, Fantasy, Horror","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",,1 win & 8 nominations,"56,911",TV-MA,movie
162,The Night Comes for Us,"Iko Uwais, Joe Taslim, Julie Estelle",Timo Tjahjanto,"['22 September 2018 ', '19 October 2018']",121 minutes,"Indonesia, United States","['XYZ Films', 'Screenplay Infinite Films']",6.9,"Action, Crime, Thriller","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.",,2 nominations,"28,350",TV-MA,movie
163,Been So Long,"Michaela Coel, Mya Lewis, Arinzé Kene",Tinge Krishnan,,,United Kingdom,"['BFI Film Fund', 'Film4', 'Greenacre Film']",5.6,"Drama, Musical, Romance","A dedicated single mother who, on an unusual night on the town, is charmed by a handsome yet troubled stranger.",,1 nomination,"1,159",N/A,movie
164,The Holiday Calendar,"Kat Graham, Quincy Brown, Ethan Peck",Bradley Walsh,,95 minutes,United States,MPCA,5.7,"Drama, Fantasy, Romance","A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?",,N/A,"10,937",TV-PG,movie
165,The Other Side of the Wind,"John Huston, Oja Kodar, Peter Bogdanovich",Orson Welles,"['August 31, 2018 ', 'November 2, 2018 ']",122 minutes,"France, Iran, United States","['Americas Film Conservancy', ""Les Films de L'Astrophore"", 'Royal Road Entertainment', 'SACI']",6.7,Drama,"At a media-swamped party to celebrate his 70th birthday and screen his avant-garde film-in-progress, a legendary but jaded Hollywood director is faced both with voracious fans and unsettling questions about what became of his lead...",,9 wins & 8 nominations,"7,837",R,movie
166,Outlaw King,"Chris Pine, Stephen Dillane, Rebecca Robin",David Mackenzie,"['September 6, 2018 ', 'November 9, 2018 ']",121 minutes,"United Kingdom, United States","['Sigma Films', 'Anonymous Content']",6.9,"Action, Biography, Drama",A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,,2 nominations,"77,690",R,movie
167,The Princess Switch,"Vanessa Hudgens, Sam Palladio, Nick Sagar",Mike Rohl,,102 minutes,United States,Motion Picture Corporation of America,6.1,"Comedy, Drama, Family","Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",,N/A,"29,961",TV-PG,movie
168,Cam,"Madeline Brewer, Patch Darragh, Melora Walters",Daniel Goldhaber,"['July 18, 2018 ', 'November 16, 2018 ']",95 minutes,United States,"['Blumhouse Productions', 'Divide/Conquer', 'Gunpowder & Sky', 'Seer Capital']",5.9,"Drama, Horror, Mystery","Alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself.",,6 wins & 3 nominations,"34,880",TV-MA,movie
169,The Ballad of Buster Scruggs,"Tim Blake Nelson, Willie Watson, Clancy Brown",Joel Coen Ethan Coen,"['August 31, 2018 ', 'November 9, 2018 ']",133 minutes,United States,"['Annapurna Pictures', 'Mike Zoss Productions']",7.3,"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",,Nominated for 3 Oscars. 6 wins & 37 nominations total,"160,660",R,movie
170,The Christmas Chronicles,"Kurt Russell, Darby Camp, Judah Lewis",Clay Kaytis,,103 minutes,United States,1492 Pictures Wonder Worldwide,7.0,"Adventure, Comedy, Family","The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",,2 nominations,"78,676",PG,movie
171,A Christmas Prince: The Royal Wedding,"Rose McIver, Ben Lamb, Alice Krige",John Schultz,,92 minutes,United States,MPCA,5.3,"Drama, Romance","A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",,N/A,"11,450",TV-PG,movie
172,Rajma Chawal,"Amyra Dastur, Mukesh Chhabra, Rishi Kapoor",Leena Yadav,,129 minutes,India,SaarthiE,5.7,"Comedy, Drama, Family",An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.,,1 nomination,"1,936",N/A,movie
173,Natale a cinque stelle,,Marco Risi,,100 minutes,,,,,,,,,,
174,Mowgli: Legend of the Jungle,"Christian Bale, Cate Blanchett, Benedict Cumberbatch",Andy Serkis,"['25 November 2018 ', '29 November 2018 ']",104 minutes,"United Kingdom, United States","['Warner Bros. Pictures', 'The Imaginarium']",6.5,"Adventure, Drama, Fantasy","A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",,7 nominations,"64,509",PG-13,movie
175,Roma,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",Alfonso Cuarón,"['30 August 2018 ', '21 November 2018 ', '14 December 2018 ']",135 minutes,"Mexico, United States","['Espectáculos Fílmicos El Coyúl', 'Pimienta Films', 'Participant Media', 'Esperanto Filmoj']",7.7,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,,Won 3 Oscars. 251 wins & 217 nominations total,"165,657",R,movie
176,Bird Box,"Sandra Bullock, Trevante Rhodes, John Malkovich",Susanne Bier,"['November 12, 2018 ', 'December 14, 2018 ']",124 minutes,United States,"['Bluegrass Films', 'Chris Morgan Productions']",6.6,"Horror, Mystery, Sci-Fi","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",,5 wins & 9 nominations,"371,463",R,movie
177,Seeing Allred,"Gloria Allred, Lisa Bloom, Hillary Clinton",Roberta Grossman Sophie Sartain,"['January 21, 2018 ', 'February 9, 2018 ']",96 minutes,United States,,7.3,"Documentary, Biography",Women's rights attorney Gloria Allred takes on the biggest names in American culture as coverage of sexual assault allegations in the media become more prevalent.,,3 nominations,"1,441",TV-14,movie
178,The Trader,N/A,Tamta Gabrichidze,,23 minutes,Georgia,,6.7,"Documentary, Short","A traveling trader provides a window into rural life in the Republic of Georgia, where potatoes are currency and ambition is crushed by poverty.",,2 wins & 1 nomination,"3,249",TV-PG,movie
179,Ladies First,Deepika Kumari,,"['7 July 2017 ', '8 March 2018']",40 minutes,India,,7.1,"Documentary, Short, Sport","An inspirational survival story of Deepika Kumari who, as a girl born on the roadside to abject poverty in rural India, went in search of food, stumbled upon archery, and within 4 years became the Number One archer in the World.",,12 wins & 2 nominations,525,TV-G,movie
180,Take Your Pills,"Ariana, Delaney, Jasper Holt-Teza",,,,United States,,6.3,Documentary,"Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this ge...",,5 nominations,"5,574",TV-14,movie
181,"Ram Dass, Going Home",N/A,,,,United States,Further Pictures,7.0,"Documentary, Short","A profound and poetic encounter with cultural and spiritual icon Ram Dass, at his home on Maui toward the end of his life.",,1 nomination,"1,166",N/A,movie
182,Mercury 13,"Wally Funk, Rhea Woltman, Sarah Ratley","['David Sington', 'Heather Walsh']",,,United States,Netflix,7.0,Documentary,"After rigorous testing in 1961, a small group of skilled female pilots are asked to step aside when only men are selected for the spaceflight.",,1 nomination,"1,256",TV-PG,movie
183,The Rachel Divide,"Rachel Dolezal, Franklin Dolezal, Izaiah Dolezal",Laura Brownson,"['April 23, 2018 ', 'April 27, 2018 ']",100 minutes,United States,,6.3,Documentary,Rachel Dolezal becomes a social phenomenon when she passes herself off as an African American and becomes the head of her local N.A.A.C.P. chapter.,,1 nomination,"2,732",TV-MA,movie
184,End Game,"Cuba Gooding Jr., Angie Harmon, James Woods",Rob Epstein Jeffrey Friedman,"['January 21, 2018 ', 'May 4, 2018 ']",40 minutes,"Germany, United States, Canada",Telling Pictures,5.1,"Action, Thriller",A secret Service agent and a news reporter investigate the conspiracy behind the assassination of the President.,,1 win,"5,569",R,movie
