,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
495,Sitara: Let Girls Dream,Sharmeen Obaid-Chinoy,,,Gloria Steinem,,,,Laura Karpman,"['Netflix', 'Waadi Animations']",Netflix,,15 minutes,['Pakistan'],,,,Sharmeen Obaid-Chinoy,,['8 March 2020'],English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Ben Platt Live from Radio City Music Hall,"['Alex Timbers', 'Sam Wrench']",,,[''],"['Ben Platt', 'Crystal Monee Hall', 'Kojo Littles', 'Allen René Louis']","['Cameron Barnett', 'Brett Turnbull']",Hamish Lyons,,"['Fulwell 73', 'Noah Gellman Productions, LLC.']",Netflix,,85 minutes,United States,,,,,,"['May 20, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,The Boys in the Band,Joe Mantello,"['Mart Crowley', 'Ned Martel']",The Boys in the Band by Mart Crowley,"['Ryan Murphy', 'David Stone', 'Joe Mantello', 'Ned Martel', 'Alexis Martin Woodall']","['Jim Parsons', 'Zachary Quinto', 'Matt Bomer', 'Andrew Rannells', 'Charlie Carver', 'Robin de Jesús', 'Brian Hutchison', 'Michael Benjamin Washington', 'Tuc Watkins']",Bill Pope,Adriaan van Zyl,,,Netflix,,122 minutes,United States,,,,,Ryan Murphy Productions,"['September 30, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Sarah Cooper: Everything's Fine,Natasha Lyonne,,,,Sarah Cooper,Polly Morgan,,,,,,49 minutes,,,,,"['Sarah Cooper', 'Natasha Lyonne', 'Maya Rudolph', 'Paula Pell', 'Cole Escola', 'Jake Fogelnest']",,,,,,,,United States,,,,"October 27, 2020",,,,,,,,,,"['Alex Bach', 'Danielle Renfrew Behrens', 'Chris Burns', 'Natasha Lyonne', 'Alex Parks', 'Daniel Powell', 'Maya Rudolph']",,,,,,,,,,,"['Sarah Cooper', 'Natasha Lyonne', 'Maya Rudolph']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,I'm No Longer Here,Fernando Frías de la Parra,,,"['Gerardo Gatica', 'Alberto Muffelmann', 'Gerry Kim', 'Fernando Frías de la Parra']","['Juan Daniel García Treviño', 'Yahir Alday', 'Angelina Chen']",Damian Garcia,"['Yibrán Asuad', 'Fernando Frías de la Parra']",,"['Panorama Global', 'PPW Films']",Netflix,"['21 October 2019 ', '27 February 2020 ', '27 May 2020 ']",112 minutes,,"['Spanish', 'English', 'Mandarin Chinese']",,,Fernando Frías de la Parra,,,,"['Mexico', 'United States']",,Ya no estoy aquí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Alien Xmas,Stephen Chiodo,,Alien Xmas by Stephen Chiodo and Jim Strain,"['Edward Chiodo', 'Karen Gilchrist', 'John Bartnicki']","['Keythe Farley', 'Dee Bradley Baker', 'Kaliayh Rhambo', 'Michelle Deco', 'Barbara Goodson']",Helder Sun Aaron Wise,Michael Mayhew,Bleeding Fingers Music,"['Chiodo Brothers Productions', 'Golem Creations', 'Sonar Entertainment']",Netflix,,42 minutes,United States,,,,"[""Kealan O'Rourke"", 'Dan Clark', 'Noah Kloor']",,"['November 20, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,If Anything Happens I Love You,"['Will McCormack', 'Michael Govier']",,,"['Maryann Garger', 'Gary Gilbert', 'Gerald Chamales', 'Michael Govier']",,,Peter Ettinger,Lindsay Marcus,"['Gilbert Films', 'Oh Good Productions']",Netflix,,12 minutes,United States,,,,"['Will McCormack', 'Michael Govier']",,"['November 20, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Canvas,,,,Paige Johnstone,,,,Jermaine Stegall,"['Chainwheel Productions', 'Netflix Animation']",Netflix,,9 minutes,United States,,,,Frank E. Abney III,,"['December 11, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"Ariana Grande: Excuse Me, I Love You",Paul Dugdale,,,"['Simon Fisher', 'Liz Garbus', 'Dan Cogan']",Ariana Grande,"['Thorsten Thielow', 'Alfredo Flores']","['Simon Bryant', 'Benjamin', 'Tony Zajkowski']",,"['Den of Thieves', 'SB Films', 'Story Syndicate', 'Si-Fi Films']",Netflix,,97 minutes,United States,,,,,,"['December 21, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Death to 2020,"['Al Campbell', 'Alice Mathias']",,,"['Charlie Brooker', 'Annabel Jones']","['Samuel L. Jackson', 'Hugh Grant', 'Lisa Kudrow', 'Leslie Jones', 'Joe Keery', 'Kumail Nanjiani', 'Tracey Ullman', 'Cristin Milioti', 'Diane Morgan', 'Samson Kayo']",Jamie Cairney,,,Broke and Bones,Netflix,,70 minutes,,,,,Charlie Brooker,,"['December 27, 2020']",English,"['United States', 'United Kingdom']",,,Laurence Fishburne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,What Happened to Mr. Cha?,Dong-kyu Kim,,,,"['Cha In-pyo', 'Jae-Ryong Song']",,,Choi Seung-hyun,,Netflix,,102 minutes,South Korea,,,,Dong-kyu Kim,,"['January 1, 2021']",Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Pieces of a Woman,Kornél Mundruczó,Kata Wéber,Pieces of a Woman by Kornél Mundruczó Kata Wéber,"['Kevin Turen', 'Ashley Levinson', 'Aaron Ryder']","['Vanessa Kirby', 'Shia LaBeouf', 'Molly Parker', 'Sarah Snook', 'Iliza Shlesinger', 'Benny Safdie', 'Jimmie Fails', 'Ellen Burstyn']",Benjamin Loeb,Dávid Jancsó,Howard Shore,"['Little Lamb', 'Bron Studios', 'Proton Cinema', 'Creative Wealth Media']",Netflix,"['September 4, 2020 ', 'December 30, 2020 ', 'January 7, 2021 ']",128 minutes,,,,,,,,English,"['Canada', 'United States', 'Hungary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Stuck Apart,Taylan Biraderler,Berkun Oya Taylan Biraderler,,Taylan Biraderler Müge Kolat,"['Engin Günaydın', 'Haluk Bilginer', 'Binnur Kaya', 'Öner Erkan', 'İrem Sak', 'Fatih Artman', 'Gülçin Santırcıoğlu', 'İlker Aksum', 'Hülya Duyar']",Burak Kanbir,Bora Gökşingöl,Veyasin,,Netflix,,,Turkey,,,,,Imaj International,['8 January 2021'],Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azizler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,The Heartbreak Club,Charles Gozali Bagus Bramanti,,,Linda Gozali Didi Kempot,"['Dede Satria', 'Denira Wiraguna', 'Emil Kusumo', 'Sisca JKT48', 'Asri Welas', 'Erick Estrada']",Hani Pradigya,Ryan Purwoko,,"['Magma Entertainment', 'Ideosource Entertainment', 'Paragon Pictures', 'Rapi Films']",Netflix,,101 minutes,Indonesia,Indonesian Javanese,,,Bagus Bramanti Gea Rexy,,"['January 14, 2021']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobat Ambyar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Double Dad,Cris D'Amato,,,,"['Maisa Silva', 'Eduardo Moscovis', 'Marcelo Médici']",,,,,Netflix,,103 minutes,Brazilian,,,,"['Renato Fagundes', 'Thalita Rebouças']",A Fabrica,"['January 15, 2021']",Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pai em Dobro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Outside the Wire,Mikael Håfström,"['Rob Yescombe', 'Rowan Athale']",,"['Brian Kavanaugh-Jones', 'Anthony Mackie', 'Ben Pugh', 'Erica Steinberg', 'Jason Spire', 'Arash Amel']","['Anthony Mackie', 'Damson Idris', 'Emily Beecham', 'Michael Kelly', 'Pilou Asbæk']",Michael Bonvillain,Rickard Krantz,Lorne Balfe,"['Automatik Entertainment', '42 Films', 'Inspire Entertainment']",Netflix,,115 minutes,United States,,,,,,"['January 15, 2021']",English,,Rob Yescombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Tribhanga,Renuka Shahane,,,"['Ajay Devgn', 'Deepak Dhar', 'Siddharth P. Malhotra', 'Parag Desai', 'Rishi Negi', 'Sapna Malhotra']","['Kajol', 'Tanvi Azmi', 'Mithila Palkar']",Baba Azmi,Jabeen Merchant,Sanjoy Chowdhury,"['Ajay Devgn FFilms', 'Banijay Asia', 'Alchemy Productions']",Netflix,,95 minutes,India,"['Hindi', 'English', 'Marathi']",,,Renuka Shahane,,['15 January 2021'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,The White Tiger,Ramin Bahrani,Ramin Bahrani,The White Tiger by Aravind Adiga,"['Mukul Deora', 'Ramin Bahrani']","['Adarsh Gourav', 'Priyanka Chopra Jonas', 'Rajkummar Rao']",Paolo Carnera,"['Tim Streeto', 'Ramin Bahrani']","['Danny Bensi', 'Saunder Jurriaans']","['Lava Media', 'ARRAY', 'Noruz Films', 'Purple Pebble Pictures']",Netflix,"['6 January 2021 ', '13 January 2021 ', '22 January 2021 ']",125 minutes,,"['English', 'Hindi']",,,,,,,"['United States', 'India']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,June & Kopi,,,,Noviandra Santosa,"['Acha Septriasa', 'Ryan Delon', 'Makayla Rose Hilli']",Budi Utomo,,Joy Ngiaw,,Netflix,,90 minutes,Indonesia,,,,"['Noviandra Santosa', 'Titien Wattimena']",Aurora Films,"['January 28, 2021']",Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Finding ʻOhana,Jude Weng,,,Ian Bryce,"['Kea Peahu', 'Alex Aiono', 'Lindsay Watson', 'Owen Vaccaro', 'Kelly Hu', 'Branscombe Richmond', 'Chris Parnell', 'Marc Evan Jackson', 'Ricky Garcia']",Cort Fey,Priscilla Nedd Friendly,Joseph Trapanese,,Netflix,,123 minutes,United States,,,,Christina Strain,Ian Bryce Productions,"['January 29, 2021']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,The Dig,Simon Stone,Moira Buffini,The Dig by John Preston,"['Gabrielle Tana', 'Ellie Wood', 'Carolyn Marks Blackwood', 'Murray Ferguson']","['Carey Mulligan', 'Ralph Fiennes', 'Lily James', 'Johnny Flynn', 'Ben Chaplin', 'Ken Stott', 'Archie Barnes', 'Monica Dolan']",Mike Eley,Jon Harris,Stefan Gregory,"['Magnolia Mae Films', 'Clerkenwell Films']",Netflix,"['14 January 2021 ', '15 January 2021 ', '29 January 2021 ']",112 minutes,United Kingdom,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Below Zero,Lluís Quílez,,,"['Josep Amorós', 'Pedro Uriol']","['Javier Gutiérrez', 'Karra Elejalde', 'Luis Callejo', 'Patrick Criado', 'Andrés Gertrúdix', 'Isak Férriz', 'Miquel Gelabert', 'Florin Opritescu', 'Édgar Vittorino']",,Antonio Frutos,Zacarías M. de la Riva,"['Morena Films', 'Amorós Producciones', 'Film Factory']",Netflix,,106 minutes,Spain,,,,"['Fernando Navarro', 'Lluís Quílez']",,['29 January 2021'],Spanish,,,Bajocero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,The Last Paradise,Rocco Ricciardulli,,,,"['Riccardo Scamarcio', 'Gaia Bermani Amaral', 'Valentina Cervi']",Gian Filippo Corticelli,,Federico Ferrandina,"['Lebowski', 'Netflix', 'Silver Productions']",,,107 minutes,Italy,,,,"['Rocco Ricciardulli', 'Riccardo Scamarcio']",,['5 February 2021'],Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L'ultimo paradiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Malcolm & Marie,Sam Levinson,,,"['Kevin Turen', 'Ashley Levinson', 'Sam Levinson', 'Zendaya', 'John David Washington', 'Scott Mescudi']","['Zendaya', 'John David Washington']",Marcell Rév,Julio C. Perez IV,Labrinth,"['Little Lamb', 'FotoKem']",Netflix,,106 minutes,United States,,$2.5 million,,Sam Levinson,,"['February 5, 2021 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Space Sweepers,Jo Sung-hee,,,"['Yoon In-beom', 'Kim Soo-jin']","['Song Joong-ki', 'Kim Tae-ri', 'Jin Seon-kyu', 'Yoo Hae-jin']",Byun Bong-sun,"['Nam Na-young', 'Ha Mi-ra']",Kim Tae-seong,"['Bidangil Pictures', 'Dexter Studios']",Netflix,,136 minutes,South Korea,Korean English,₩24 billion,,"['Yoon Seung-min', 'Yoo-kang Seo-ae', 'Jo Sung-hee']",,"['February 5, 2021']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,The Misadventures of Hedi and Cokeman,Julien Hollande,,,,"['Nassim Lyes', 'Fred Testot', 'Julie Ferrier']",,,,,,,99 minutes,France,,,,"['Julien Hollande', 'Nassim Lyes']",,['10 February 2021'],French,,,,,,,,,,,,,,,,,,,,En Passant Pécho: Les Carottes Sont Cuites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Red Dot,Alain Darborg,,,,"['Nanna Blondell', 'Anastasios Soulis', 'Thomas Hanzon', 'Johannes Bah Kuhnke', 'Kalled Mustonen', 'Tomas Bergström']",,Magnus Häll,Carl-Johan Sevedag,,Netflix,,85 minutes,Sweden,"['Swedish', 'English']",,,"['Alain Darborg', 'Per Dickson']",,"['February 11, 2021 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Squared Love,Filip Zylber,,,Magdalena Szwedkowicz,"['Adrianna Chlebicka', 'Mateusz Banasiuk', 'Agnieszka Żulewska', 'Anna Smołowik', 'Krzysztof Czeczot', 'Mirosław Baka', 'Tomasz Karolak']",Maciej Lisiecki,Krzysztof Boroń,Michał Kush,,Netflix,,133 minutes,Poland,,,,"['Wiktor Piątkowski', 'Marzanna Polit']",Endemol Shine Polska,['11 February 2021 '],Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miłość do kwadratu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,To All the Boys: Always and Forever,Michael Fimognari,Katie Lovejoy,"Always and Forever, Lara Jean by Jenny Han",Matt Kaplan,"['Lana Condor', 'Noah Centineo', 'Janel Parrish', 'Anna Cathcart', 'Ross Butler', 'Madeleine Arthur', 'Emilija Baranac', 'Trezzo Mahoro', 'Kelcey Mawema', ""Sofia Black-D'Elia"", 'Henry Thomas', 'Sarayu Blue', 'John Corbett']",Michael Fimognari,Michelle Harrison Joe Klotz Tamara Meem,Joe Wong,"['Awesomeness Films', 'Ace Entertainment']",Netflix,,115 minutes,United States,,,,,,"['February 12, 2021']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Geez & Ann,,,,,"['Junior Roberts', 'Hanggini', 'Roy Sungkono']",,,,,Netflix,,105 minutes,Indonesia,,,,"['Cassandra Massardi', 'Adi Nugroho']",MVP Pictures,['25 February 2021'],Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Crazy About Her,Dani de la Orden,,,"['Toni Carrizosa', 'Alberto Aranda', 'Kike Maíllo', 'Bernat Saumell']","['Álvaro Cervantes', 'Susana Abaitua']",Daniel Aranyó,"['Oriol Pérez', 'Elena Ruiz']",Julio de la Rosa,"['Playtime Movies', 'Sábado Películas', 'Loco Por Ti la Película']",Netflix,,102 minutes,Spain,,,,"['Natalia Durán', 'Eric Navarro']",,['26 February 2021 '],Spanish,,,Loco por ella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,The Girl on the Train,Ribhu Dasgupta,Erin Cressida Wilson Ribhu Dasgupta Viddesh Malandkar,The Girl on the Train by Paula Hawkins,Vivek B. Agrawal Shibashish Sarkar,"['Parineeti Chopra', 'Aditi Rao Hydari', 'Kirti Kulhari', 'Avinash Tiwary']",Tribhuvan Babu Sadineni,Sangeeth Varghese,Gilad Benamram,,Netflix,,120 minutes,India,,,,,Reliance Entertainment,['26 February 2021'],Hindi,,Ribhu Dasgupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Moxie,Amy Poehler,"['Tamara Chestna', 'Dylan Meyer']",Moxie by Jennifer Mathieu,"['Kim Lessing', 'Morgan Sackett', 'Amy Poehler']","['Hadley Robinson', 'Alycia Pascual-Peña', 'Lauren Tsai', 'Nico Hiraga', 'Patrick Schwarzenegger', 'Amy Poehler']",Tom Magill,Julie Monroe,Mac McCaughan,,Netflix,,111 minutes,United States,,,,,Paper Kite Productions,"['March 3, 2021']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Sentinelle,,"['Julien Leclercq', 'Matthieu Serveau']",,Julien Madon,"['Olga Kurylenko', 'Marilyn Lima', 'Michel Nabokoff']",,,,"['Labyrinthe Cinéma', 'Umedia']",Netflix,,80 minutes,France,,,,,,['5 March 2021'],French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Yes Day,Miguel Arteta,Justin Malen,Yes Day by Amy Krouse Rosenthal Tom Lichtenheld,"['Lawrence Grey', 'Ben Everard', 'Daniel Rappaport', 'Nicole King Solaka', 'Jennifer Garner']","['Jennifer Garner', 'Édgar Ramírez', 'Jenna Ortega']",Terry Stacey,Jay Deuby,Michael Andrews,"['Grey Matter Productions', 'Entertainment 360']",Netflix,,86 minutes,United States,,,,,,"['March 12, 2021']",English,,Justin Malen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Paper Lives,Can Ulkay,,,Onur Güvenatam,"['Çağatay Ulusoy', 'Emir Ali Doğrul', 'Ersin Arıcı', 'Turgay Tanülkü', 'Selen Öztürk']",Serkan Güler,,,,Netflix,,,Turkey,,,,Ercan Mehmet Erdem,OGM Pictures,"['March 12, 2021']",Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kağıttan Hayatlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Get the Goat,Vitor Brandt,,,,"['Victor Allen', 'Evelyn Castro', 'Juliano Cazarré']",,,,,Netflix,,97 minutes,Brazil,,,,"['Vitor Brandt', 'Denis Nielsen']",,"['March 18, 2021']",Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabras da Peste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Caught by a Wave,Massimiliano Camaiti,,,,"['Elvira Camarrone', 'Roberto Christian', 'Donatella Finocchiaro']",,,,,,,99 minutes,Italy,,,,"['Claudia Bottino', 'Massimiliano Camaiti']",Cinemaundici,['25 March 2021'],Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sulla Stessa Onda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,A Week Away,Roman White,"['Alan Powell', 'Kali Bailey']",,"['Alan Powell', 'Gabe Vasquez', 'Steve Barnett']","['Bailee Madison', 'Kevin Quinn', 'Jahbril Cook', 'Kat Conner Sterling', 'David Koechner', 'Sherri Shepherd', 'Iain Tucker', 'Amy Grant', 'Steven Curtis Chapman']",James King,Parker Adams,Adam Watts,"['Monarch Media', 'Rove Productions']",Netflix,,97 minutes,United States,,,,,,"March 26, 2021",English,,"['Alan Powell', 'Kali Bailey', 'Gabe Vasquez']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Bad Trip,Kitao Sakurai,"['Dan Curry', 'Eric André', 'Kitao Sakurai']",,"['Jeff Tremaine', 'Eric André', 'David Bernad', 'Ruben Fleischer']","['Eric André', 'Lil Rel Howery', 'Tiffany Haddish']",Andrew Laboy,"['Matthew Kosinski', 'Sascha Stanton-Craven']","['Joseph Shirley', 'Ludwig Göransson']","['Orion Pictures', 'Gorilla Flicks', 'The District']",Netflix,,84 minutes,United States,,,,,,"['March 26, 2021']",English,,"['Eric André', 'Kitao Sakurai', 'Andrew Barchilon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Pagglait,Umesh Bist,,,Shobha Kapoor Ekta Kapoor Guneet Monga Achin Jain,"['Sanya Malhotra', 'Ashutosh Rana', 'Shruti Sharma', 'Raghubir Yadav', 'Rajesh Tailang']",Rafey Mahmood,Prerna Saigal,Arijit Singh,Balaji Motion Pictures Sikhya Entertainment,Netflix,,115 minutes,India,,,,Umesh Bist,,['26 March 2021'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Tersanjung the Movie,,,,,"['Clara Bernadeth', 'Giorgino Abraham', 'Kevin Ardillova']",,,,"['MVP Pictures', 'Dapur Film']",Netflix,,114 minutes,Indonesia,,,,"['Hanung Bramantyo', 'Pandu Adjisurya']",,['1 April 2021'],Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Concrete Cowboy,Ricky Staub,"['Ricky Staub', 'Dan Walser']",Ghetto Cowboy by Greg Neri,"['Idris Elba', 'Tucker Tooley', 'Lee Daniels', 'Jeff Waxman', 'Dan Walser']","['Idris Elba', 'Caleb McLaughlin', 'Jharrel Jerome', 'Byron Bowers', 'Lorraine Toussaint', 'Clifford ""Method Man"" Smith']",Minka Farthing-Kohl,Luke Ciarrocchi,Kevin Matley,"['Tucker Tooley Entertainment', 'Green Door Pictures', 'Lee Daniels Entertainment', 'Neighborhood Film Co.']",Netflix,"['September 13, 2020 ', 'April 2, 2021 ']",111 minutes,United States,,~$10 million,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Just Say Yes,"['Appie Boudellah', 'Aram van de Rest']",,,,"['Yolanthe Cabau', 'Huub Smit', 'Jim Bakkum']",Max Maloney,Manuel Rombley,,,Netflix,,97 minutes,Netherlands,,,,"['Appie Boudellah', 'Mustapha Boudellah', 'Marie Kiebert', 'Maarten van den Broek']",AM Pictures,['2 April 2021 '],Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
