,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
542,Thunder Force,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.","Action, Adventure, Comedy",Parental Guidance,movie,106,2021-01-01,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman",United States,"['On the Day Productions', 'Marc Platt Productions']",1 nomination,"44,494",4.5
543,Prime Time,"On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.","Drama, Thriller",Mature Audiences,movie,93,2021-01-01,Jakub Piątek,"Bartosz Bielenia, Magdalena Poplawska, Andrzej Klak",Poland,"['Watchout Studio', 'Polish Film Institute', 'TVN', 'Krakow Festival Office']",2 wins & 2 nominations,"1,934",5.2
544,Ride or Die,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.","Crime, Drama, Romance",Mature Audiences,movie,142,2021-01-01,Ryuichi Hiroki,"Kiko Mizuhara, Honami Satô, Shinya Niiro",Japan,,1 nomination,"2,352",5.6
545,Ajeeb Daastaans,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,"Drama, Romance",Mature Audiences,movie,142,2021-01-01,"['Shashank Khaitan', 'Raj Mehta', 'Neeraj Ghaywan', 'Kayoze Irani']","Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan",India,Dharmatic Entertainment,9 wins & 9 nominations,"6,192",6.7
546,Arlo the Alligator Boy,"A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.","Animation, Adventure, Comedy",General Audiences,movie,92,2021-01-01,Ryan Crego,"Michael J. Woodard, Ryan Crego, Dee Bradley Baker",United States,"['Titmouse, Inc.', 'Netflix Animation']",6 nominations,"1,217",6.4
547,Get the Grift,"After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together.","Comedy, Crime",Mature Audiences,movie,94,2021-01-01,Pedro Antônio Paes,"Marcus Majella, Samantha Schmütz, Zeca Carvalho",Brazil,,,835,5.3
548,Things Heard & Seen,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.","Drama, Horror, Mystery",Mature Audiences,movie,121,2021-01-01,Shari Springer Berman Robert Pulcini,"Amanda Seyfried, James Norton, Natalia Dyer",United States,Likely Story,1 win,"34,685",5.3
549,The Disciple,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive.","Drama, Music",Mature Audiences,movie,127,2020-01-01,Chaitanya Tamhane,"Aditya Modak, Arun Dravid, Sumitra Bhave",India,Zoo Entertainment,14 wins & 12 nominations,"2,933",7.1
551,Monster,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.","Biography, Crime, Drama",Mature Audiences,movie,98,2018-01-01,Anthony Mandler,"Charlize Theron, Christina Ricci, Bruce Dern","United States, Germany","['Bron Studios', 'Charlevoix Entertainment', 'Get Lifted Film Company', 'Tonik Productions', 'Red Crown Productions', 'Creative Wealth Media']",Won 1 Oscar. 31 wins & 26 nominations total,"158,002",7.3
552,Oxygen,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","Drama, Fantasy, Sci-Fi",Mature Audiences,movie,101,2021-01-01,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi","France, United States","['Gateway Films', 'Wild Bunch', 'Echo Lake Entertainment']",1 nomination,"42,491",6.5
553,Ferry,"Ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour.","Action, Crime, Drama",Mature Audiences,movie,106,2021-01-01,,"Frank Lammers, Elise Schaap, Huub Stapel","Belgium, Netherlands",deMENSEN,1 win & 3 nominations,"11,958",7.0
554,I Am All Girls,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,"Crime, Drama, Mystery",Mature Audiences,movie,107,2021-01-01,Donovan Marsh,"Erica Wessels, Hlubi Mboya, Leshego Molokwane",South Africa,Nthibah Pictures,3 wins & 10 nominations,"6,954",6.0
555,The Woman in the Window,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","Crime, Drama, Mystery",Mature Audiences,movie,100,2021-01-01,Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie",United States,"['20th Century Studios', 'Fox 2000 Pictures']",8 nominations,"80,207",5.7
556,Sardar Ka Grandson,A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,"Comedy, Drama, Romance",Mature Audiences,movie,140,2021-01-01,Kaashvie Nair,"John Abraham, Aditi Rao Hydari, Rakul Preet Singh",India,T-Series Emmay Entertainment JA Entertainment,1 win & 4 nominations,"4,728",4.2
557,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Action, Crime, Drama",Mature Audiences,movie,148,2021-01-01,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera",United States,The Stone Quarry,1 win & 4 nominations,"181,692",5.8
558,Baggio: The Divine Ponytail,"Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.","Biography, Drama, Sport",Mature Audiences,movie,92,2021-01-01,Letizia Lamartire,"Andrea Arcangeli, Valentina Bellè, Thomas Trabacchi",Italy,Fabula Pictures,,"4,958",6.1
559,Ghost Lab,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.","Drama, Horror, Thriller",Mature Audiences,movie,117,2021-01-01,,"Thanapob Leeratanakachorn, Paris Intarakomalyasut, Nuttanicha Dungwattanawanich",Thailand,GDH 559 Jorkwang Film,,"1,623",5.2
560,Blue Miracle,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.","Adventure, Biography, Drama",Parental Guidance,movie,95,2021-01-01,Julio Quintana,"Dennis Quaid, Jimmy Gonzales, Miguel Angel Garcia",United States,"['Mucho Mas Media', 'Reserve Entertainment', 'Redwood Ranch Productions', 'Third Coast Content', 'Provident Films', 'Endeavor Content']",1 win & 2 nominations,"7,643",6.6
561,Carnaval,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",Comedy,Mature Audiences,movie,94,2021-01-01,Leandro Neri,"Alexandre Moreira, Antônio Rafaski, Bruna Inocencio",Brazil,,,"1,008",4.1
562,Dancing Queens,"The story of Dylan Pettersson, a 23 year old girl from a small island in the Swedish archipelago with big dancing aspirations.","Comedy, Drama",Mature Audiences,movie,110,2021-01-01,Helena Bergström,"Rakel Wärmländer, Emil Almén, Molly Nutley",Sweden,Sweetwater Production,,"2,063",5.7
563,Sweet & Sour,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,"Comedy, Romance",Parental Guidance,movie,101,2002-01-01,Lee Gye-byeok,"Reese Witherspoon, Patrick Dempsey, Josh Lucas",United States,KT Hitel 26 Company Gyebyeok Mulsan,3 wins & 6 nominations,"120,306",6.2
564,Trippin' with the Kandasamys,"To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.","Comedy, Romance",Mature Audiences,movie,93,2021-01-01,Jayan Moodley,"Mariam Bassa, Rushil Juglall, Vashir Kemraj",South Africa,African Lotus Production Studios,,407,5.1
565,Xtreme,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.","Action, Crime, Drama",Mature Audiences,movie,111,2021-01-01,Daniel Benmayor,"Teo García, Óscar Jaenada, Óscar Casas",Spain,Showrunner Films,,"4,902",5.8
566,Awake,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,"Crime, Drama, Mystery",Mature Audiences,movie,96,2007-01-01,Mark Raso,"Hayden Christensen, Jessica Alba, Terrence Howard",United States,"['Entertainment One', 'Paul Schiff Productions']",1 win & 3 nominations,"78,951",6.5
567,Tragic Jungle,"To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.","Adventure, Drama, Mystery",Mature Audiences,movie,96,2020-01-01,Yulene Olaizola,"Indira Rubie Andrewin, Gilberto Barraza, Mariano Tun Xool","Mexico, France, Colombia","['Malacosa Cine', 'Varios Lobos', 'Manny Films']",6 wins & 17 nominations,"1,070",5.6
568,Skater Girl,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.","Drama, Family, Sport",Parental Guidance,movie,107,2021-01-01,Manjari Makijany,"Waheeda Rehman, Amy Maghera, Sahidur Rahaman","United States, India","['Skatepark Films', 'Mac Productions']",2 wins & 2 nominations,"4,781",6.6
569,Ali & Ratu Ratu Queens,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.","Biography, Drama, Sport",Mature Audiences,movie,100,2001-01-01,Lucky Kuswandi,"Will Smith, Jamie Foxx, Jon Voight",United States,Palari Films,Nominated for 2 Oscars. 10 wins & 27 nominations total,"103,782",6.7
570,Jagame Thandhiram,"A nomadic gangster finds himself caught between good and evil in a fight for a place to call home. Starring Dhanush, Aishwarya Lekshmi and James Cosmo.","Action, Crime, Drama",Mature Audiences,movie,158,2021-01-01,Karthik Subbaraj,"Dhanush, James Cosmo, Aishwarya Lekshmi","United Kingdom, India",YNOT Studios Reliance Entertainment,,"12,247",5.8
571,Good on Paper,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.","Comedy, Romance",Not Rated,movie,92,2021-01-01,Kimmy Gatewood,"Iliza Shlesinger, Britney Young, Christopher Nicholas Smith",United States,"['Burn Later Productions', 'Meridian Content', 'Universal Pictures']",,"13,475",5.6
572,America: The Motion Picture,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,"Animation, Action, Adventure",Mature Audiences,movie,98,2021-01-01,Matt Thompson,"Channing Tatum, Jason Mantzoukas, Olivia Munn","Brazil, Mexico, United States, Czech Republic","['Netflix Animation', 'Lord Miller Productions', 'Floyd County Productions', 'Free Association']",,"7,107",5.6
573,Fear Street Part One: 1994,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,"Drama, Horror, Mystery",Mature Audiences,movie,107,2021-01-01,Leigh Janiak,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr.",United States,20th Century Studios Chernin Entertainment,3 wins & 8 nominations,"89,778",6.2
574,The 8th Night,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.","Horror, Thriller",Mature Audiences,movie,115,2021-01-01,Kim Tae-hyoung,"Lee Sung-min, Park Hae-joon, Kim Yoo-jung",South Korea,Gom Pictures Gogo Studio,,"4,069",5.3
575,Haseen Dillruba,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.","Crime, Drama, Mystery",Mature Audiences,movie,136,2021-01-01,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",India,Colour Yellow Productions T-Series Eros International,7 wins & 16 nominations,"28,701",6.9
576,Fear Street Part Two: 1978,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","Drama, Horror, Mystery",Mature Audiences,movie,110,2021-01-01,Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins",United States,20th Century Studios Chernin Entertainment,1 win & 3 nominations,"71,746",6.7
577,Last Summer,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.","Drama, Romance",Mature Audiences,movie,101,2021-01-01,Ozan Açıktan,"Fatih Berk Sahin, Ece Çesmioglu, Halit Özgür Sari",Turkey,"['OG Medya', 'OGM Pictures', 'PToT Films']",,"3,313",6.3
578,A Classic Horror Story,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","Drama, Horror, Mystery",Mature Audiences,movie,95,2021-01-01,"['Roberto De Feo', 'Paolo Strippoli']","Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta",Italy,Colorado Film,1 win & 5 nominations,"20,862",5.7
579,A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.","Comedy, Drama, Romance",Parental Guidance,movie,112,2021-01-01,Hadrah Daeng Ratu,"Nadya Arina, Refal Hady, Giorgino Abraham",Indonesia,"['StarVision Plus', 'Netflix']",6 nominations,673,5.4
580,My Amanda,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.","Drama, Romance",Mature Audiences,movie,89,2021-01-01,Alessandra de Rossi,"Alessandra De Rossi, Piolo Pascual, Luz Valdez",Philippines,Spring Films AWOO,2 wins & 14 nominations,366,5.8
581,Deep,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it's too late.,"Drama, Mystery, Sci-Fi",Mature Audiences,movie,101,2021-01-01,,"Panisara Rikulsurakan, Kay Lertsittichai, Supanaree Sutavijitvong",Thailand,Transformation Films,,"1,715",4.9
