,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
328,The Decline,A fatal accident at a remote survivalist training camp sends participants into a panic - and sets the stage for a chilling showdown.,"Action, Thriller",Mature Audiences,83,2020-01-01,Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé",Canada,0,Couronne Nord,0,1,12,9561,6.0
329,Uncorked,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.,Drama,Mature Audiences,104,2020-01-01,Prentice Penny,"Courtney B. Vance, Lashun Pollard, Michael Mobley",United States,1,Forge Media,1,0,0,6794,6.4
330,Coffee & Kareem,"Some people take their coffee straight, others take it with a little cream and sugar.","Short, Comedy, Romance",Not Rated,88,2004-01-01,Michael Dowse,"Christy Geslain, Alison Haislip, Cameron Northey",United States,0,Pacific Electric Picture Co.,0,0,0,98,5.7
331,The Main Event,A bankrupt entrepreneur attempts to recoup some of her losses by getting a washed-out boxer she picked up as a tax loss back into the ring - an idea her protégé isn't fond of.,"Comedy, Romance, Sport",Parental Guidance,101,1979-01-01,Jay Karas,"Barbra Streisand, Ryan O'Neal, Paul Sand",United States,0,WWE Studios,0,4,5,3094,5.5
332,Love Wedding Repeat,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the sa...","Comedy, Romance",Mature Audiences,100,2020-01-01,Dean Craig,"Sam Claflin, Olivia Munn, Freida Pinto",United Kingdom,1,Notorious Pictures,1,0,0,21698,5.6
333,Tigertail,"In this multigenerational drama, a Taiwanese factory worker leaves his homeland to seek opportunity in America, where he struggles to find connection while balancing family and new-found responsibilities.",Drama,Parental Guidance,91,2020-01-01,Alan Yang,"Tzi Ma, Christine Ko, Hong-Chi Lee",United States,0,MACRO,0,0,1,3794,6.6
334,Earth and Blood,"Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory.","Action, Crime, Drama",Mature Audiences,80,2020-01-01,Julien Leclercq,"Sami Bouajila, Eriq Ebouaney, Samy Seghir",France,1,Labyrinthe Films,1,0,0,2800,5.2
335,Rising High,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.","Comedy, Drama",Mature Audiences,94,2020-01-01,Cüneyt Kaya,"Ellen Dubin, David Kross, Emily Goss",Germany,0,No Production Company Listed,1,0,0,5480,6.0
336,Sergio,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.","Biography, Drama, History",Mature Audiences,118,2020-01-01,Greg Barker,"Wagner Moura, Ana de Armas, Brían F. O'Byrne",United States,0,Black Rabbit Media,1,1,1,10634,6.2
337,The Willoughbys,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.","Animation, Adventure, Comedy",Parental Guidance,92,2020-01-01,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara",Canada,1,Netflix,1,0,16,20779,6.4
338,Time to Hunt,"In the near future, a financial crisis will hit Korea and slums arise. From those areas, a group of young people commit crime to survive.","Action, Crime, Drama",Mature Audiences,134,2020-01-01,Yoon Sung-hyun,"Lee Jehoon, Ahn Jae-hong, Choi Woo-sik",South Korea,0,Sidus Pictures,0,0,3,6479,6.3
339,Extraction,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","Action, Thriller",Mature Audiences,117,2020-01-01,Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum",United States,0,AGBO,1,4,15,251361,6.8
340,Dangerous Lies,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she l...","Crime, Mystery, Thriller",Mature Audiences,96,2020-01-01,Michael Scott,"Nick Purcha, Joe Costa, Camila Mendes",United States,0,Off Camera Entertainment,0,2,1,18165,5.3
341,Rich in Love,"The Odoms of Charleston, South Carolina have lived a life of the traditions of the American South in their longtime, large-family beachfront home.",Drama,Parental Guidance,104,1993-01-01,Bruno Garotti,"Albert Finney, Jill Clayburgh, Kathryn Erbe",United States,0,Ananã Produções,0,0,0,893,6.2
342,All Day and a Night,A young man who committed a homicide deals with the repercussions of his action.,Drama,Mature Audiences,121,2020-01-01,Joe Robert Cole,"Ashton Sanders, Jeffrey Wright, Isaiah John",United States,0,Color Force,1,0,2,4159,6.0
343,Mrs. Serial Killer,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.","Crime, Drama, Thriller",Mature Audiences,106,2020-01-01,Shirish Kunder,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina",India,0,Three's Company Productions,0,0,1,19006,4.1
344,The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.","Comedy, Drama",Parental Guidance,104,2020-01-01,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire",United States,0,Likely Story,0,3,10,41705,6.9
345,The Wrong Missy,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.","Comedy, Romance",Mature Audiences,90,2020-01-01,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson",United States,0,Happy Madison Productions,0,0,5,43685,5.7
346,The Lovebirds,A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,"Action, Comedy, Crime",Mature Audiences,87,2020-01-01,Michael Showalter,"Issa Rae, Kumail Nanjiani, Paul Sparks",United States,0,Paramount Pictures,1,1,3,27276,6.1
347,I'm No Longer Here,"In Monterrey, Mexico, a young street gang spends their days dancing to slowed-down cumbia and attending parties. After a mix-up with a local cartel, their leader is forced to migrate to the U.S. but quickly longs to return home.",Drama,Mature Audiences,112,2019-01-01,Fernando Frías de la Parra,"Juan Daniel García Treviño, Emily May Jampel, Xueming Angelina Chen",Mexico,1,Panorama Global,1,18,20,9056,7.3
348,Intuition,"Pipa begins her career as a police detective alongside her mentor, the controversial detective Francisco Juánez. Together they must solve the violent murder of a 19-year-old girl.","Crime, Drama, Mystery",Mature Audiences,116,2020-01-01,Alejandro Montiel,"Luisana Lopilato, Joaquín Furriel, Rafael Ferro",Argentina,0,FAM Contenidos,0,0,0,3026,5.5
349,Choked,A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.,Drama,Mature Audiences,114,2020-01-01,Anurag Kashyap,"Saiyami Kher, Roshan Mathew, Amruta Subhash",India,0,JAR Pictures,0,0,14,5675,5.7
350,The Last Days of American Crime,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.","Action, Crime, Drama",Mature Audiences,149,2020-01-01,Olivier Megaton,"Neels Clasen, Edgar Ramírez, Tony Caprari",United States,0,Netflix,1,0,0,12212,3.8
351,Da 5 Bloods,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,"Adventure, Drama, War",Mature Audiences,156,2020-01-01,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters",United States,0,40 Acres and a Mule Filmworks,1,41,198,54104,6.5
352,A Whisker Away,"Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.","Animation, Adventure, Drama",Parental Guidance,104,2020-01-01,Junichi Sato,"Mirai Shida, Natsuki Hanae, Johnny Yong Bosch",Japan,0,Studio Colorido,1,1,2,12679,6.7
353,Feel the Beat,"After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.","Comedy, Drama, Family",Parental Guidance,107,2020-01-01,Elissa Down,"Sofia Carson, Pamela MacDonald, Sonia Laplante",United States,0,Resonate Entertainment,1,1,3,12628,6.3
354,Lost Bullet,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.","Action, Crime, Thriller",Mature Audiences,92,2020-01-01,Guillaume Pierret,"Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia",France,0,Inoxy Films,1,0,0,13566,6.3
355,One-Way to Tomorrow,A romantic story of two strangers who come across each other on a journey from Ankara to Izmir.,"Comedy, Drama, Romance",Mature Audiences,90,2020-01-01,Ozan Açıktan,"Dilan Çiçek Deniz, Metin Akdülger, Tevfik Kartal",Turkey,0,OG Medya,1,1,1,5334,5.6
356,Bulbbul.,"A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.","Drama, Horror, Mystery",Mature Audiences,94,2020-01-01,Anvita Dutt,"Triptii Dimri, Avinash Tiwary, Rahul Bose",India,0,Clean Slate Filmz,0,8,10,13338,6.5
357,Nobody Knows I'm Here,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?","Drama, Music",Mature Audiences,100,2020-01-01,Gaspar Antillo,"Jorge Garcia, Lukas Vergara, Millaray Lobos",Chile,0,Fabula,0,1,1,4761,6.5
358,Eurovision Song Contest: The Story of Fire Saga,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","Comedy, Music",Parental Guidance,123,2020-01-01,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens",United States,1,Gary Sanchez Productions,1,6,28,99597,6.5
359,Under the Riccione Sun,"On holiday at Riccione beach, a group of teens get to know each other and help each other get through summer loves' heartache.","Comedy, Drama, Romance",Mature Audiences,101,2020-01-01,YouNuts!,"Cristiano Caccamo, Davide Calgaro, Matteo Oscar Giuggioli",Italy,0,Lucky Red,1,0,0,3019,5.6
360,Desperados,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.","Comedy, Romance",Mature Audiences,105,2020-01-01,LP,"Nasim Pedrad, Anna Camp, Lamorne Morris",United States,0,Good Universe,1,1,0,10976,5.2
361,The Old Guard,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,"Action, Thriller",Mature Audiences,125,2020-01-01,Gina Prince-Bythewood,"Charlize Theron, KiKi Layne, Matthias Schoenaerts",United States,0,Skydance,1,5,24,177697,6.7
362,The Players,A series of short films set around the theme of infidelity.,Comedy,Mature Audiences,88,2012-01-01,Stefano Mordini,"Jean Dujardin, Gilles Lellouche, Géraldine Nakache",France,0,102 Distribution,1,1,0,8536,5.3
363,Fatal Affair,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",Thriller,Mature Audiences,89,2020-01-01,Peter Sullivan,"Nia Long, Omar Epps, Stephen Bishop",United States,0,Hybrid Films,0,1,0,6569,4.6
364,Offering to the Storm,Inspector Amaia Salazar confronts the origins of her nightmares as she unfolds the darkest secrets of the Baztan valley.,"Crime, Thriller",Mature Audiences,139,2020-01-01,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Nene",Spain,1,ARTE,1,1,0,7255,6.2
365,The Kissing Booth 2,"In the sequel to 2018's The Kissing Booth', high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everyt...","Comedy, Romance",Mature Audiences,131,2020-01-01,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi",United Kingdom,1,Picture Loom Productions,1,2,0,35707,5.7
366,Seriously Single,"Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga Sibiya, he seems to be the man she's wait...","Comedy, Romance",Mature Audiences,107,2020-01-01,Katleho Ramaphakela,"Fulu Mugovhani, Thabo Malema, Tiffany Barbuzano",South Africa,0,Burnt Onion Productions,0,0,4,1330,4.6
367,Raat Akeli Hai,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,"Crime, Drama, Mystery",Mature Audiences,149,2020-01-01,Honey Trehan,"Ashish Chhipa, Nawazuddin Siddiqui, Radhika Apte",India,0,RSVP Movies,0,4,16,19221,7.2
368,Work It,"When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school. Now she just needs to learn how to dance.","Comedy, Music",Mature Audiences,93,2020-01-01,Laura Terruso,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes",United States,0,A.K. Worldwide Productions,1,1,0,14988,6.2
369,Gunjan Saxena: The Kargil Girl,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,"Action, Biography, Drama",Mature Audiences,112,2020-01-01,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi",India,0,Dharma Productions,0,6,15,35271,5.5
