,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
453,Hope Frozen,"After her untimely death, a scientist from Bangkok cryo-preserves his daughter's brain. Scandal swirls around the family as they struggle to grieve a child that, in their view, is suspended between death and reawakening.","Documentary, Drama",Parental Guidance,75,2020-09-15,Pailin Wedel,"Max More, Matrix Naovaratpong, Nareerat Naovaratpong",Thailand,1,2050 Productions,0,2,5,590.0,6.6,"A two-year-old girl from Bangkok, nicknamed ""Einz"" became the youngest person in the world to undergo cryo-preservation. After her death from brain cancer, her family stores her remains in an American lab. Her head and brain now rest inside a tank in Arizona. Hope Frozen follows the family who made this unorthodox decision. The girl's father, a laser scientist, yearns to give Einz the opportunity to experience a rebirth inside a regenerated body. He instils this dream inside his son, a 15-year-old whiz kid named Matrix, who wants to be a part of reviving his little sister. But what the boy later discovers will rattle the family's radical hope in science."
454,Gims: On the Record,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,"Documentary, Music",Mature Audiences,96,2020-09-17,Florent Bodin,"Chaz Hodges, Lorene Chesley, Maître Gims",France,0,Netflix,0,0,0,223.0,6.9,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.
455,A Love Song for Latasha,The injustice surrounding the shooting death of 15-year-old Latasha Harlins at a South Central Los Angeles store became a flashpoint for the city’s 1992 civil uprising.,"Documentary, Short, Biography",Parental Guidance,19,2019-04-01,Sophia Nahli Allison,"Tybie O'Bard, Shinese Harlins, Zoe Flint",United States,0,No Production Company Listed,1,6,6,2550.0,6.8,A Love Song For Latasha is a dreamlike hybrid documentary in conversation with the past and the present to reimagine a more nuanced narrative of Latasha Harlins than standard archival practises have captured by excavating intimate and poetic memories shared by her cousin and best friend.
456,American Murder: The Family Next Door,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.","Documentary, Crime",Mature Audiences,82,2020-09-30,Jenny Popplewell,"Nickole Atkinson, Jim Benemann, Luke Epple",United Kingdom,0,Knickerbockerglory,0,2,4,31002.0,7.2,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world."
457,Dick Johnson Is Dead,A daughter helps her father prepare for the end of his life.,"Documentary, Biography, Drama",Parental Guidance,89,2020-01-25,Kirsten Johnson,"Michael Hilow, Ana Hoffman, Dick Johnson",United States,0,Big Mouth Productions,0,19,42,7014.0,7.4,A daughter helps her father prepare for the end of his life.
458,David Attenborough: A Life on Our Planet,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,"Documentary, Biography",Parental Guidance,83,2020-10-04,Alastair Fothergill,"David Attenborough, Max Hughes",United Kingdom,0,Altitude Film Entertainment,1,8,10,33452.0,8.9,"One man has seen more of the natural world than any other. This unique feature documentary is his witness statement. In his 93 years, David Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Now, for the first time he reflects upon both the defining moments of his lifetime as a naturalist and the devastating changes he has seen. Honest, revealing and urgent, DAVID ATTENBOROUGH: A LIFE ON OUR PLANET is a powerful first-hand account of humanity's impact on nature and a message of hope for future generations. Created by award-winning natural history filmmakers Silverback Films and global conservation organization WWF, the film is Directed by Alastair Fothergill, Jonnie Hughes and Keith Scholey and Executive Produced by Colin Butfield. Celebrated British naturalist Sir David Attenborough has a broadcasting career spanning over eight decades. He has visited every continent on the globe, exploring the wild places of our planet and bringing the wonders of the living world to audiences worldwide through groundbreaking natural history series. His work includes: Life on Earth, Planet Earth and more recently the Netflix original documentary series Our Planet."
459,Blackpink: Light Up the Sky,Chart the meteoric rise of the South Korean girl group BLACKPINK in director Caroline Suh's documentary.,"Documentary, Music",Mature Audiences,79,2020-10-14,Caroline Suh,"Reila Post, Blackpink, Jennie Kim",United States,1,RadicalMedia,0,0,0,7100.0,7.3,"The all-access documentary covers the four years since Blackpink's debut in 2016 with video footages from their training days, a look into their day-to-day life, behind-the-scenes stories, and interviews with the members. It follows the trials and tribulations of being a K-pop star, the recording process of the group's debut album The Album and member Rosé's then-upcoming solo debut, and culminates with their 2019 Coachella performance."
460,The Three Deaths of Marisela Escobedo,Follows a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,"Documentary, Crime",Mature Audiences,109,2020-10-14,Carlos Perez Osorio,"Juan Manuel Fraire Escobedo, Alejandro Fraire, Blanca Escobedo",Mexico,0,Scopio,1,1,6,1846.0,8.2,Follows a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.
461,Secrets of the Saqqara Tomb,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.","Documentary, History",Parental Guidance,113,2020-10-28,James Tovell,"Ahmed Zikrey Abdellhak, Ghareeb Ali Mohammed Abushousha, Nabil Eldaleel",United Kingdom,0,At Land Productions,1,0,0,6950.0,7.2,"It is heralded as one of the most jaw-dropping, exciting, and important Ancient Egyptian discoveries in decades. And the discoveries have only just begun. Join a team of local archaeologists as they excavate never before explored passageways, shafts, and tombs, while piecing together the secrets of one Egypt's most remarkable tombs. News of the tomb discovery has gone around the world and it has been heralded as the most significant find in almost fifty years. The condition of the tomb is remarkable - but the real excitement lies in what is to come. The archaeologists hope they are going to unearth the possessions, grave goods, and mummies of the high-priest and his family - and with that information hoping to transform our understanding of this period of Old Kingdom history."
462,Shawn Mendes: In Wonder,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.","Documentary, Music",Mature Audiences,83,2020-11-23,Grant Singer,"Shawn Mendes, Camila Cabello, Evan A. Dunn",United States,0,Netflix,0,0,1,2166.0,6.5,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey."
463,Dance Dreams: Hot Chocolate Nutcracker,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions.","Documentary, Family",Parental Guidance,80,2020-11-27,Oliver Bokelberg,"Debbie Allen, Tichina Arnold, Ryan Phuong",United States,0,Shondaland,0,0,0,376.0,7.1,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions."
464,Giving Voice,This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.,Documentary,Parental Guidance,87,2020-01-26,James D. Stern,"Mary Alice, Annette Bening, Glenn Close",United States,0,Endgame Entertainment,1,1,0,312.0,6.9,This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.
465,What Did Jack do?,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey.","Short, Comedy, Crime",Mature Audiences,17,2017-11-08,David Lynch,"Jack Cruz, David Lynch, Toototabon",United States,0,No Production Company Listed,1,0,0,13804.0,6.4,"Dressed up in a formal suit, evoking memories of Twin Peaks (1990)' Special Agent Dale Cooper, David Lynch's hard-boiled, chain-smoking detective probes into the personal life of inscrutable Jack Cruz: a suspect related to a hideous crime of passion. Now, against the backdrop of a gritty, black-and-white railroad station café, and a ceaseless battle of wits, the masterful interrogator presses Jack to confess to the murder of Max Clegg; however, his evasive answers prove that Jack is a hard nut to crack. But, there is an elephant in the room. So, let's dispense with the formalities and start talking turkey. What did Jack do?"
466,Road to Roma,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.,Documentary,Not Rated,72,2020-02-11,Andres Clariond,"Yalitza Aparicio, Odín Ayala, Eugenio Caballero",Mexico,0,Netflix,0,0,0,719.0,7.7,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.
467,Sitara: Let Girls Dream,"The short tells the story of Pari, a 14-year-old girl who dreams of becoming a pilot while growing up in a society that doesn't allow her to dream.","Animation, Short, Drama",Not Rated,15,2020-03-08,Sharmeen Obaid-Chinoy,No Cast Available,Pakistan,1,Netflix,1,3,0,788.0,7.1,"SITARA: LET GIRLS DREAM takes the audience on a journey through the old city of Lahore where a fourteen-year old girl, Pari, dreams of becoming a pilot. Her story is told through the perspective of her six-year-old sister Mehr, who is unaware of the traditions and barriers that lay in the path of women from her family. It is a story about the burdens of a family and the impact of a culture where girls are still struggling to fully realize their dreams."
